depth,shift,discharge,flag
8.90,-0.11,2703.85,
8.91,-0.11,2716.79,
8.92,-0.11,2729.76,
8.93,-0.11,2742.76,
8.94,-0.11,2755.81,
8.95,-0.11,2768.90,
8.96,-0.11,2782.03,
8.97,-0.11,2795.19,
8.98,-0.11,2808.40,
8.99,-0.11,2821.64,
9.00,-0.11,2834.92,
9.01,-0.11,2848.24,
9.02,-0.11,2861.60,
9.03,-0.11,2875.00,
9.04,-0.11,2888.44,
9.05,-0.10,2901.92,
9.06,-0.10,2915.44,
9.07,-0.10,2929.00,
9.08,-0.10,2942.60,
9.09,-0.10,2956.24,
9.10,-0.10,2969.91,*
9.11,-0.10,2983.63,
9.12,-0.10,2997.39,
9.13,-0.10,3011.18,
9.14,-0.10,3025.02,
9.15,-0.10,3038.90,
9.16,-0.10,3052.81,
9.17,-0.10,3066.77,
9.18,-0.10,3080.77,
9.19,-0.10,3094.80,
9.20,-0.10,3108.88,
9.21,-0.10,3121.35,
9.22,-0.10,3133.71,
9.23,-0.10,3146.10,
9.24,-0.10,3158.52,
9.25,-0.10,3170.97,
9.26,-0.10,3183.44,
9.27,-0.10,3195.94,
9.28,-0.10,3208.47,
9.29,-0.10,3221.03,
9.30,-0.10,3233.62,
9.31,-0.10,3246.23,
9.32,-0.10,3258.87,
9.33,-0.10,3271.54,
9.34,-0.10,3284.24,
9.35,-0.10,3296.97,
9.36,-0.10,3309.73,
9.37,-0.10,3322.51,
9.38,-0.10,3335.33,
9.39,-0.10,3348.17,
9.40,-0.10,3361.04,
9.41,-0.10,3373.93,
9.42,-0.09,3386.86,
9.43,-0.09,3399.82,
9.44,-0.09,3412.80,
9.45,-0.09,3425.81,
9.46,-0.09,3438.85,
9.47,-0.09,3451.92,
9.48,-0.09,3465.02,
9.49,-0.09,3478.14,
9.50,-0.09,3491.30,
9.51,-0.09,3504.48,
9.52,-0.09,3517.69,
9.53,-0.09,3530.93,
9.54,-0.09,3544.20,
9.55,-0.09,3557.50,
9.56,-0.09,3570.82,
9.57,-0.09,3584.18,
9.58,-0.09,3597.56,
9.59,-0.09,3610.98,
9.60,-0.09,3624.42,
9.61,-0.09,3637.89,
9.62,-0.09,3651.38,
9.63,-0.09,3664.91,
9.64,-0.09,3678.47,
9.65,-0.09,3692.05,
9.66,-0.09,3705.67,
9.67,-0.09,3719.31,
9.68,-0.09,3732.98,
9.69,-0.09,3746.68,
9.70,-0.09,3760.41,
9.71,-0.09,3774.17,
9.72,-0.09,3787.95,
9.73,-0.09,3801.77,
9.74,-0.09,3815.61,
9.75,-0.09,3829.49,
9.76,-0.09,3843.39,
9.77,-0.09,3857.32,
9.78,-0.09,3871.28,
9.79,-0.09,3885.27,
9.80,-0.08,3899.29,
9.81,-0.08,3913.34,
9.82,-0.08,3927.41,
9.83,-0.08,3941.52,
9.84,-0.08,3955.65,
9.85,-0.08,3969.82,
9.86,-0.08,3984.01,
9.87,-0.08,3998.23,
9.88,-0.08,4012.48,
9.89,-0.08,4026.77,
9.90,-0.08,4041.07,
9.91,-0.08,4055.41,
9.92,-0.08,4069.78,
9.93,-0.08,4084.18,
9.94,-0.08,4098.61,
9.95,-0.08,4113.06,
9.96,-0.08,4127.55,
9.97,-0.08,4142.06,
9.98,-0.08,4156.61,
9.99,-0.08,4171.18,
10.00,-0.08,4185.78,*
10.01,-0.08,4200.41,
10.02,-0.08,4215.07,
10.03,-0.08,4229.77,
10.04,-0.08,4244.49,
10.05,-0.08,4259.24,
10.06,-0.08,4274.01,
10.07,-0.08,4288.82,
10.08,-0.08,4303.01,
10.09,-0.08,4315.25,
10.10,-0.08,4327.51,
10.11,-0.08,4339.78,
10.12,-0.08,4352.07,
10.13,-0.08,4364.38,
10.14,-0.08,4376.70,
10.15,-0.08,4389.04,
10.16,-0.08,4401.40,
10.17,-0.08,4413.78,
10.18,-0.07,4426.17,
10.19,-0.07,4438.57,
10.20,-0.07,4451.00,
10.21,-0.07,4463.44,
10.22,-0.07,4475.90,
10.23,-0.07,4488.37,
10.24,-0.07,4500.87,
10.25,-0.07,4513.37,
10.26,-0.07,4525.90,
10.27,-0.07,4538.44,
10.28,-0.07,4551.00,
10.29,-0.07,4563.58,
10.30,-0.07,4576.17,
10.31,-0.07,4588.78,
10.32,-0.07,4601.41,
10.33,-0.07,4614.05,
10.34,-0.07,4626.71,
10.35,-0.07,4639.39,
10.36,-0.07,4652.08,
10.37,-0.07,4664.79,
10.38,-0.07,4677.52,
10.39,-0.07,4690.26,
10.40,-0.07,4703.02,
10.41,-0.07,4715.80,
10.42,-0.07,4728.59,
10.43,-0.07,4741.40,
10.44,-0.07,4754.23,
10.45,-0.07,4767.08,
10.46,-0.07,4779.94,
10.47,-0.07,4792.82,
10.48,-0.07,4805.71,
10.49,-0.07,4818.62,
10.50,-0.07,4831.55,
10.51,-0.07,4844.50,
10.52,-0.07,4857.46,
10.53,-0.07,4870.44,
10.54,-0.07,4883.43,
10.55,-0.07,4896.44,
10.56,-0.06,4909.47,
10.57,-0.06,4922.52,
10.58,-0.06,4935.58,
10.59,-0.06,4948.66,
10.60,-0.06,4961.76,
10.61,-0.06,4974.87,
10.62,-0.06,4988.00,
10.63,-0.06,5001.15,
10.64,-0.06,5014.31,
10.65,-0.06,5027.49,
10.66,-0.06,5040.69,
10.67,-0.06,5053.90,
10.68,-0.06,5067.13,
10.69,-0.06,5080.38,
10.70,-0.06,5093.64,
10.71,-0.06,5106.92,
10.72,-0.06,5120.22,
10.73,-0.06,5133.53,
10.74,-0.06,5146.86,
10.75,-0.06,5160.21,
10.76,-0.06,5173.58,
10.77,-0.06,5186.96,
10.78,-0.06,5200.35,
10.79,-0.06,5213.77,
10.80,-0.06,5227.20,
10.81,-0.06,5240.65,
10.82,-0.06,5254.11,
10.83,-0.06,5267.59,
10.84,-0.06,5281.09,
10.85,-0.06,5294.61,
10.86,-0.06,5308.14,
10.87,-0.06,5321.69,
10.88,-0.06,5335.25,
10.89,-0.06,5348.83,
10.90,-0.06,5362.43,
10.91,-0.06,5376.05,
10.92,-0.06,5389.68,
10.93,-0.05,5403.33,
10.94,-0.05,5416.99,
10.95,-0.05,5430.67,
10.96,-0.05,5444.37,
10.97,-0.05,5458.09,
10.98,-0.05,5471.82,
10.99,-0.05,5485.57,
11.00,-0.05,5499.33,
11.01,-0.05,5513.12,
11.02,-0.05,5526.92,
11.03,-0.05,5540.73,
11.04,-0.05,5554.56,
11.05,-0.05,5568.41,
11.06,-0.05,5582.28,
11.07,-0.05,5596.16,
11.08,-0.05,5610.06,
11.09,-0.05,5623.98,
11.10,-0.05,5637.91,
11.11,-0.05,5651.86,
11.12,-0.05,5665.82,
11.13,-0.05,5679.81,
11.14,-0.05,5693.81,
11.15,-0.05,5707.82,
11.16,-0.05,5721.85,
11.17,-0.05,5735.90,
11.18,-0.05,5749.97,
11.19,-0.05,5764.05,
11.20,-0.05,5778.15,
11.21,-0.05,5792.27,
11.22,-0.05,5806.40,
11.23,-0.05,5820.55,
11.24,-0.05,5834.72,
11.25,-0.05,5848.90,
11.26,-0.05,5863.10,
11.27,-0.05,5877.31,
11.28,-0.05,5891.55,
11.29,-0.05,5905.80,
11.30,-0.05,5920.06,
11.31,-0.04,5934.35,
11.32,-0.04,5948.65,
11.33,-0.04,5962.96,
11.34,-0.04,5977.29,
11.35,-0.04,5991.64,
11.36,-0.04,6006.01,
11.37,-0.04,6020.39,
11.38,-0.04,6034.79,
11.39,-0.04,6049.21,
11.40,-0.04,6063.64,
11.41,-0.04,6078.09,
11.42,-0.04,6092.56,
11.43,-0.04,6107.04,
11.44,-0.04,6121.54,
11.45,-0.04,6136.06,
11.46,-0.04,6150.59,
11.47,-0.04,6165.14,
11.48,-0.04,6179.70,
11.49,-0.04,6194.29,
11.50,-0.04,6208.89,
11.51,-0.04,6223.50,
11.52,-0.04,6238.13,
11.53,-0.04,6252.78,
11.54,-0.04,6267.45,
11.55,-0.04,6282.13,
11.56,-0.04,6296.83,
11.57,-0.04,6311.55,
11.58,-0.04,6326.28,
11.59,-0.04,6341.03,
11.60,-0.04,6355.79,
11.61,-0.04,6370.58,
11.62,-0.04,6385.37,
11.63,-0.04,6400.19,
11.64,-0.04,6415.02,
11.65,-0.04,6429.87,
11.66,-0.04,6444.74,
11.67,-0.04,6459.62,
11.68,-0.04,6474.52,
11.69,-0.03,6489.43,
11.70,-0.03,6504.36,
11.71,-0.03,6519.31,
11.72,-0.03,6534.28,
11.73,-0.03,6549.26,
11.74,-0.03,6564.26,
11.75,-0.03,6579.27,
11.76,-0.03,6594.31,
11.77,-0.03,6609.35,
11.78,-0.03,6624.42,
11.79,-0.03,6639.50,
11.80,-0.03,6654.60,
11.81,-0.03,6669.71,
11.82,-0.03,6684.84,
11.83,-0.03,6699.99,
11.84,-0.03,6715.16,
11.85,-0.03,6730.34,
11.86,-0.03,6745.53,
11.87,-0.03,6760.75,
11.88,-0.03,6775.98,
11.89,-0.03,6791.23,
11.90,-0.03,6806.49,
11.91,-0.03,6821.77,
11.92,-0.03,6837.07,
11.93,-0.03,6852.38,
11.94,-0.03,6867.71,
11.95,-0.03,6883.06,
11.96,-0.03,6898.42,
11.97,-0.03,6913.80,
11.98,-0.03,6929.20,
11.99,-0.03,6944.61,
12.00,-0.03,6960.04,*
12.01,-0.03,6975.49,
12.02,-0.03,6990.95,
12.03,-0.03,7005.43,
12.04,-0.03,7018.51,
12.05,-0.03,7031.61,
12.06,-0.02,7044.72,
12.07,-0.02,7057.84,
12.08,-0.02,7070.98,
12.09,-0.02,7084.13,
12.10,-0.02,7097.29,
12.11,-0.02,7110.46,
12.12,-0.02,7123.65,
12.13,-0.02,7136.85,
12.14,-0.02,7150.07,
12.15,-0.02,7163.30,
12.16,-0.02,7176.54,
12.17,-0.02,7189.79,
12.18,-0.02,7203.06,
12.19,-0.02,7216.34,
12.20,-0.02,7229.64,
12.21,-0.02,7242.94,
12.22,-0.02,7256.27,
12.23,-0.02,7269.60,
12.24,-0.02,7282.95,
12.25,-0.02,7296.31,
12.26,-0.02,7309.68,
12.27,-0.02,7323.07,
12.28,-0.02,7336.47,
12.29,-0.02,7349.88,
12.30,-0.02,7363.31,
12.31,-0.02,7376.75,
12.32,-0.02,7390.21,
12.33,-0.02,7403.67,
12.34,-0.02,7417.15,
12.35,-0.02,7430.65,
12.36,-0.02,7444.15,
12.37,-0.02,7457.67,
12.38,-0.02,7471.21,
12.39,-0.02,7484.75,
12.40,-0.02,7498.31,
12.41,-0.02,7511.89,
12.42,-0.02,7525.47,
12.43,-0.02,7539.07,
12.44,-0.01,7552.69,
12.45,-0.01,7566.31,
12.46,-0.01,7579.95,
12.47,-0.01,7593.61,
12.48,-0.01,7607.27,
12.49,-0.01,7620.95,
12.50,-0.01,7634.65,
12.51,-0.01,7648.35,
12.52,-0.01,7662.07,
12.53,-0.01,7675.81,
12.54,-0.01,7689.55,
12.55,-0.01,7703.31,
12.56,-0.01,7717.09,
12.57,-0.01,7730.87,
12.58,-0.01,7744.67,
12.59,-0.01,7758.49,
12.60,-0.01,7772.31,
12.61,-0.01,7786.15,
12.62,-0.01,7800.00,
12.63,-0.01,7813.87,
12.64,-0.01,7827.75,
12.65,-0.01,7841.64,
12.66,-0.01,7855.55,
12.67,-0.01,7869.47,
12.68,-0.01,7883.40,
12.69,-0.01,7897.35,
12.70,-0.01,7911.31,
12.71,-0.01,7925.28,
12.72,-0.01,7939.27,
12.73,-0.01,7953.27,
12.74,-0.01,7967.28,
12.75,-0.01,7981.31,
12.76,-0.01,7995.35,
12.77,-0.01,8009.40,
12.78,-0.01,8023.47,
12.79,-0.01,8037.55,
